Player Name,Salary,Team,Pos,Opp Team,Proj FP
Brett Gardner,4500,NYY,OF,TBR,8.12
Todd Frazier,3800,NYY,3B,TBR,6.14
Aaron Judge,4900,NYY,OF,TBR,8.46
Didi Gregorius,4400,NYY,SS,TBR,7.7
Matt Holliday,3800,NYY,1B,TBR,6.07
Jacoby Ellsbury,3800,NYY,OF,TBR,6.45
Starlin Castro,4600,NYY,2B,TBR,7.26
Kevin Kiermaier,4000,TBR,OF,NYY,6.32
Wilson Ramos,2200,TBR,C,NYY,5.63
Peter Bourjos,2700,TBR,OF,NYY,4.96
Trevor Plouffe,2900,TBR,3B,NYY,5.7
Lucas Duda,3800,TBR,1B,NYY,4.97
Evan Longoria,3500,TBR,3B,NYY,7.79
Adeiny Hechavarria,2900,TBR,SS,NYY,5.17
Tim Beckham,4200,BAL,SS,TOR,7.32
Jason Hammel,7400,KCR,SP,CHW,19.18
Reynaldo Lopez,6300,CHW,SP,KCR,14.76
Cole Hamels,8300,TEX,SP,SEA,17.27
Kyle Freeland,6600,COL,SP,ARI,11.37
Zack Greinke,11800,ARI,SP,COL,24.69
Christopher Stratton,6500,SFG,SP,LAD,12.72
Kenta Maeda,9900,LAD,SP,SFG,18.39
Ariel Miranda,6900,SEA,SP,TEX,12.14
Brandon Woodruff,7100,MIL,SP,PIT,19.05
Myles Jaye,5000,DET,SP,CLE,10.45
Marco Estrada,6800,TOR,SP,BAL,16.73
Carlos Carrasco,13200,CLE,SP,DET,29.57
CC Sabathia,8000,NYY,SP,TBR,17.29
Steven Brault,5400,PIT,SP,MIL,8.97
Jake Odorizzi,6700,TBR,SP,NYY,14.67
Ubaldo Jimenez,6100,BAL,SP,TOR,10.68
